"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","","x","","","0"
"2018","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","","x","","","0"
"2019","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","4796","","","","0"
"2020","Canada","2016A000011124","Gas plant natural gas liquids (NGL's)","Statistical difference","Terajoules","283","units","0","v54272887","1.6.47","-2408","","","","0"
"2015","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1876494","","","","0"
"2016","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1888731","","","","0"
"2017","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1931156","","","","0"
"2018","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1967239","","","","0"
"2019","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1988419","","","","0"
"2020","Canada","2016A000011124","Primary electricity, hydro and nuclear","Energy use, final demand","Terajoules","283","units","0","v54272894","1.7.18","1941087","","","","0"
"2015","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","711356","","","","0"
"2016","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","738239","","","","0"
"2017","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","737463","","","","0"
"2018","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","743891","","","","0"
"2019","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","752736","","","","0"
"2020","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total industrial","Terajoules","283","units","0","v54272906","1.7.31","719532","","","","0"
"2015","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","23419","","","","0"
"2016","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","26261","","","","0"
"2017","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","28314","","","","0"
"2018","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","28660","","","","0"
"2019","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","27841","","","","0"
"2020","Canada","2016A000011124","Primary electricity, hydro and nuclear","Total transportation","Terajoules","283","units","0","v54272910","1.7.42","27250","","","","0"
